"link","alpha","name","name1","name3","url","name_full","show"
"category","Z","主要","治安","交通事故死者数（人口10万人当たり）","K04106","交通事故死者数（人口10万人当たり）","T"
"category","Z","主要","治安","刑法犯認知件数（人口千人当たり）","K06101","刑法犯認知件数（人口千人当たり）","T"
"category","Z","主要","家計","実収入（二人以上の世帯のうち勤労者世帯）（家計調査結果）","L3110","実収入（二人以上の世帯のうち勤労者世帯）（家計調査結果）","T"
"category","Z","主要","家計","預貯金（二人以上の世帯のうち勤労者世帯）","L730202","預貯金（二人以上の世帯のうち勤労者世帯）","T"
"category","Z","主要","生活","仕事の平均時間（有業者・男）","M0210101","仕事の平均時間（有業者・男）","T"
"category","Z","主要","生活","仕事の平均時間（有業者・女）","M0210201","仕事の平均時間（有業者・女）","T"
"category","Z","主要","生活","睡眠の平均時間（10歳以上）（男）","M1101","睡眠の平均時間（10歳以上）（男）","T"
"category","Z","主要","生活","睡眠の平均時間（10歳以上）（女）","M1102","睡眠の平均時間（10歳以上）（女）","T"
"population","A","人口","人口・割合・密度","総人口","A1101","総人口","T"
"population","A","人口","人口・割合・密度","総人口（男）","A110101","総人口（男）","T"
"population","A","人口","人口・割合・密度","総人口（女）","A110102","総人口（女）","T"
"population","A","人口","人口・割合・密度","全国総人口に占める人口割合","A01101","全国総人口に占める人口割合","T"
"population","A","人口","人口・割合・密度","年齢中央値（中位数）","A1231","年齢中位数","T"
"population","A","人口","人口・割合・密度","日本人人口","A1102","日本人人口","T"
"population","A","人口","人口・割合・密度","日本人人口（男）","A110201","日本人人口（男）","F"
"population","A","人口","人口・割合・密度","日本人人口（女）","A110202","日本人人口（女）","F"
"population","A","人口","人口・割合・密度","0～4歳人口","A1201","0～4歳人口","T"
"population","A","人口","人口・割合・密度","0～4歳人口（男）","A120101","0～4歳人口（男）","F"
"population","A","人口","人口・割合・密度","0～4歳人口（女）","A120102","0～4歳人口（女）","F"
"population","A","人口","人口・割合・密度","5～9歳人口","A1202","5～9歳人口","T"
"population","A","人口","人口・割合・密度","5～9歳人口（男）","A120201","5～9歳人口（男）","F"
"population","A","人口","人口・割合・密度","5～9歳人口（女）","A120202","5～9歳人口（女）","F"
"population","A","人口","人口・割合・密度","10～14歳人口","A1203","10～14歳人口","T"
"population","A","人口","人口・割合・密度","10～14歳人口（男）","A120301","10～14歳人口（男）","F"
"population","A","人口","人口・割合・密度","10～14歳人口（女）","A120302","10～14歳人口（女）","F"
"population","A","人口","人口・割合・密度","15～19歳人口","A1204","15～19歳人口","T"
"population","A","人口","人口・割合・密度","15～19歳人口（男）","A120401","15～19歳人口（男）","F"
"population","A","人口","人口・割合・密度","15～19歳人口（女）","A120402","15～19歳人口（女）","F"
"population","A","人口","人口・割合・密度","20～24歳人口","A1205","20～24歳人口","T"
"population","A","人口","人口・割合・密度","20～24歳人口（男）","A120501","20～24歳人口（男）","F"
"population","A","人口","人口・割合・密度","20～24歳人口（女）","A120502","20～24歳人口（女）","F"
"population","A","人口","人口・割合・密度","25～29歳人口","A1206","25～29歳人口","T"
"population","A","人口","人口・割合・密度","25～29歳人口（男）","A120601","25～29歳人口（男）","F"
"population","A","人口","人口・割合・密度","25～29歳人口（女）","A120602","25～29歳人口（女）","F"
"population","A","人口","人口・割合・密度","30～34歳人口","A1207","30～34歳人口","T"
"population","A","人口","人口・割合・密度","30～34歳人口（男）","A120701","30～34歳人口（男）","F"
"population","A","人口","人口・割合・密度","30～34歳人口（女）","A120702","30～34歳人口（女）","F"
"population","A","人口","人口・割合・密度","35～39歳人口","A1208","35～39歳人口","T"
"population","A","人口","人口・割合・密度","35～39歳人口（男）","A120801","35～39歳人口（男）","F"
"population","A","人口","人口・割合・密度","35～39歳人口（女）","A120802","35～39歳人口（女）","F"
"population","A","人口","人口・割合・密度","40～44歳人口","A1209","40～44歳人口","T"
"population","A","人口","人口・割合・密度","40～44歳人口（男）","A120901","40～44歳人口（男）","F"
"population","A","人口","人口・割合・密度","40～44歳人口（女）","A120902","40～44歳人口（女）","F"
"population","A","人口","人口・割合・密度","45～49歳人口","A1210","45～49歳人口","T"
"population","A","人口","人口・割合・密度","45～49歳人口（男）","A121001","45～49歳人口（男）","F"
"population","A","人口","人口・割合・密度","45～49歳人口（女）","A121002","45～49歳人口（女）","F"
"population","A","人口","人口・割合・密度","50～54歳人口","A1211","50～54歳人口","T"
"population","A","人口","人口・割合・密度","50～54歳人口（男）","A121101","50～54歳人口（男）","F"
"population","A","人口","人口・割合・密度","50～54歳人口（女）","A121102","50～54歳人口（女）","F"
"population","A","人口","人口・割合・密度","55～59歳人口","A1212","55～59歳人口","T"
"population","A","人口","人口・割合・密度","55～59歳人口（男）","A121201","55～59歳人口（男）","F"
"population","A","人口","人口・割合・密度","55～59歳人口（女）","A121202","55～59歳人口（女）","F"
"population","A","人口","人口・割合・密度","60～64歳人口","A1213","60～64歳人口","T"
"population","A","人口","人口・割合・密度","60～64歳人口（男）","A121301","60～64歳人口（男）","F"
"population","A","人口","人口・割合・密度","60～64歳人口（女）","A121302","60～64歳人口（女）","F"
"population","A","人口","人口・割合・密度","65～69歳人口","A1214","65～69歳人口","T"
"population","A","人口","人口・割合・密度","65～69歳人口（男）","A121401","65～69歳人口（男）","F"
"population","A","人口","人口・割合・密度","65～69歳人口（女）","A121402","65～69歳人口（女）","F"
"population","A","人口","人口・割合・密度","70～74歳人口","A1215","70～74歳人口","T"
"population","A","人口","人口・割合・密度","70～74歳人口（男）","A121501","70～74歳人口（男）","F"
"population","A","人口","人口・割合・密度","70～74歳人口（女）","A121502","70～74歳人口（女）","F"
"population","A","人口","人口・割合・密度","75～79歳人口","A1216","75～79歳人口","T"
"population","A","人口","人口・割合・密度","75～79歳人口（男）","A121601","75～79歳人口（男）","F"
"population","A","人口","人口・割合・密度","75～79歳人口（女）","A121602","75～79歳人口（女）","F"
"population","A","人口","人口・割合・密度","80～84歳人口","A1217","80～84歳人口","T"
"population","A","人口","人口・割合・密度","80～84歳人口（男）","A121701","80～84歳人口（男）","F"
"population","A","人口","人口・割合・密度","80～84歳人口（女）","A121702","80～84歳人口（女）","F"
"population","A","人口","人口・割合・密度","85～89歳人口","A1218","85～89歳人口","T"
"population","A","人口","人口・割合・密度","85～89歳人口（男）","A121801","85～89歳人口（男）","F"
"population","A","人口","人口・割合・密度","85～89歳人口（女）","A121802","85～89歳人口（女）","F"
"population","A","人口","人口・割合・密度","90～94歳人口","A1219","90～94歳人口","T"
"population","A","人口","人口・割合・密度","90～94歳人口（男）","A121901","90～94歳人口（男）","F"
"population","A","人口","人口・割合・密度","90～94歳人口（女）","A121902","90～94歳人口（女）","F"
"population","A","人口","人口・割合・密度","95～99歳人口","A1220","95～99歳人口","T"
"population","A","人口","人口・割合・密度","95～99歳人口（男）","A122001","95～99歳人口（男）","F"
"population","A","人口","人口・割合・密度","95～99歳人口（女）","A122002","95～99歳人口（女）","F"
"population","A","人口","人口・割合・密度","100歳以上人口","A1221","100歳以上人口","T"
"population","A","人口","人口・割合・密度","100歳以上人口（男）","A122101","100歳以上人口（男）","F"
"population","A","人口","人口・割合・密度","100歳以上人口（女）","A122102","100歳以上人口（女）","F"
"population","A","人口","人口・割合・密度","15歳未満人口","A1301","15歳未満人口","T"
"population","A","人口","人口・割合・密度","15歳未満人口（男）","A130101","15歳未満人口（男）","F"
"population","A","人口","人口・割合・密度","15歳未満人口（女）","A130102","15歳未満人口（女）","F"
"population","A","人口","人口・割合・密度","15～64歳人口","A1302","15～64歳人口","T"
"population","A","人口","人口・割合・密度","15～64歳人口（男）","A130201","15～64歳人口（男）","F"
"population","A","人口","人口・割合・密度","15～64歳人口（女）","A130202","15～64歳人口（女）","F"
"population","A","人口","人口・割合・密度","65歳以上人口","A1303","65歳以上人口","T"
"population","A","人口","人口・割合・密度","65歳以上人口（男）","A130301","65歳以上人口（男）","F"
"population","A","人口","人口・割合・密度","65歳以上人口（女）","A130302","65歳以上人口（女）","F"
"population","A","人口","人口・割合・密度","15歳未満人口割合","A1304","15歳未満人口割合","T"
"population","A","人口","人口・割合・密度","15歳未満人口割合（男）","A130401","15歳未満人口割合（男）","F"
"population","A","人口","人口・割合・密度","15歳未満人口割合（女）","A130402","15歳未満人口割合（女）","F"
"population","A","人口","人口・割合・密度","15～64歳人口割合","A1305","15～64歳人口割合","T"
"population","A","人口","人口・割合・密度","15～64歳人口割合（男）","A130501","15～64歳人口割合（男）","F"
"population","A","人口","人口・割合・密度","15～64歳人口割合（女）","A130502","15～64歳人口割合（女）","F"
"population","A","人口","人口・割合・密度","65歳以上人口割合","A1306","65歳以上人口割合","T"
"population","A","人口","人口・割合・密度","65歳以上人口割合（男）","A130601","65歳以上人口割合（男）","F"
"population","A","人口","人口・割合・密度","65歳以上人口割合（女）","A130602","65歳以上人口割合（女）","F"
"population","A","人口","人口・割合・密度","3歳人口","A1401","3歳人口","F"
"population","A","人口","人口・割合・密度","3歳人口（男）","A140101","3歳人口（男）","F"
"population","A","人口","人口・割合・密度","3歳人口（女）","A140102","3歳人口（女）","F"
"population","A","人口","人口・割合・密度","4歳人口","A1402","4歳人口","F"
"population","A","人口","人口・割合・密度","4歳人口（男）","A140201","4歳人口（男）","F"
"population","A","人口","人口・割合・密度","4歳人口（女）","A140202","4歳人口（女）","F"
"population","A","人口","人口・割合・密度","5歳人口","A1403","5歳人口","F"
"population","A","人口","人口・割合・密度","5歳人口（男）","A140301","5歳人口（男）","F"
"population","A","人口","人口・割合・密度","5歳人口（女）","A140302","5歳人口（女）","F"
"population","A","人口","人口・割合・密度","0～3歳人口","A1404","0～3歳人口","F"
"population","A","人口","人口・割合・密度","0～3歳人口（男）","A140401","0～3歳人口（男）","F"
"population","A","人口","人口・割合・密度","0～3歳人口（女）","A140402","0～3歳人口（女）","F"
"population","A","人口","人口・割合・密度","0～5歳人口","A1405","0～5歳人口","F"
"population","A","人口","人口・割合・密度","0～5歳人口（男）","A140501","0～5歳人口（男）","F"
"population","A","人口","人口・割合・密度","0～5歳人口（女）","A140502","0～5歳人口（女）","F"
"population","A","人口","人口・割合・密度","0～15歳人口","A1406","0～15歳人口","F"
"population","A","人口","人口・割合・密度","0～15歳人口（男）","A140601","0～15歳人口（男）","F"
"population","A","人口","人口・割合・密度","0～15歳人口（女）","A140602","0～15歳人口（女）","F"
"population","A","人口","人口・割合・密度","0～17歳人口","A1407","0～17歳人口","F"
"population","A","人口","人口・割合・密度","0～17歳人口（男）","A140701","0～17歳人口（男）","F"
"population","A","人口","人口・割合・密度","0～17歳人口（女）","A140702","0～17歳人口（女）","F"
"population","A","人口","人口・割合・密度","3～5歳人口","A1408","3～5歳人口","F"
"population","A","人口","人口・割合・密度","3～5歳人口（男）","A140801","3～5歳人口（男）","F"
"population","A","人口","人口・割合・密度","3～5歳人口（女）","A140802","3～5歳人口（女）","F"
"population","A","人口","人口・割合・密度","6～11歳人口","A1409","6～11歳人口","F"
"population","A","人口","人口・割合・密度","6～11歳人口（男）","A140901","6～11歳人口（男）","F"
"population","A","人口","人口・割合・密度","6～11歳人口（女）","A140902","6～11歳人口（女）","F"
"population","A","人口","人口・割合・密度","10～13歳人口","A1410","10～13歳人口","F"
"population","A","人口","人口・割合・密度","10～13歳人口（男）","A141001","10～13歳人口（男）","F"
"population","A","人口","人口・割合・密度","10～13歳人口（女）","A141002","10～13歳人口（女）","F"
"population","A","人口","人口・割合・密度","12～14歳人口","A1411","12～14歳人口","F"
"population","A","人口","人口・割合・密度","12～14歳人口（男）","A141101","12～14歳人口（男）","F"
"population","A","人口","人口・割合・密度","12～14歳人口（女）","A141102","12～14歳人口（女）","F"
"population","A","人口","人口・割合・密度","14～19歳人口","A1412","14～19歳人口","F"
"population","A","人口","人口・割合・密度","14～19歳人口（男）","A141201","14～19歳人口（男）","F"
"population","A","人口","人口・割合・密度","14～19歳人口（女）","A141202","14～19歳人口（女）","F"
"population","A","人口","人口・割合・密度","15～17歳人口","A1413","15～17歳人口","F"
"population","A","人口","人口・割合・密度","15～17歳人口（男）","A141301","15～17歳人口（男）","F"
"population","A","人口","人口・割合・密度","15～17歳人口（女）","A141302","15～17歳人口（女）","F"
"population","A","人口","人口・割合・密度","15歳以上人口","A1414","15歳以上人口","F"
"population","A","人口","人口・割合・密度","15歳以上人口（男）","A141401","15歳以上人口（男）","F"
"population","A","人口","人口・割合・密度","15歳以上人口（女）","A141402","15歳以上人口（女）","F"
"population","A","人口","人口・割合・密度","40歳以上人口","A1415","40歳以上人口","F"
"population","A","人口","人口・割合・密度","40歳以上人口（男）","A141501","40歳以上人口（男）","F"
"population","A","人口","人口・割合・密度","40歳以上人口（女）","A141502","40歳以上人口（女）","F"
"population","A","人口","人口・割合・密度","60歳以上人口","A1416","60歳以上人口","F"
"population","A","人口","人口・割合・密度","60歳以上人口（男）","A141601","60歳以上人口（男）","F"
"population","A","人口","人口・割合・密度","60歳以上人口（女）","A141602","60歳以上人口（女）","F"
"population","A","人口","人口・割合・密度","70歳以上人口","A1417","70歳以上人口","F"
"population","A","人口","人口・割合・密度","70歳以上人口（男）","A141701","70歳以上人口（男）","F"
"population","A","人口","人口・割合・密度","70歳以上人口（女）","A141702","70歳以上人口（女）","F"
"population","A","人口","人口・割合・密度","80歳以上人口","A1418","80歳以上人口","F"
"population","A","人口","人口・割合・密度","80歳以上人口（男）","A141801","80歳以上人口（男）","F"
"population","A","人口","人口・割合・密度","80歳以上人口（女）","A141802","80歳以上人口（女）","F"
"population","A","人口","人口・割合・密度","75歳以上人口","A1419","75歳以上人口","F"
"population","A","人口","人口・割合・密度","75歳以上人口（男）","A141901","75歳以上人口（男）","F"
"population","A","人口","人口・割合・密度","75歳以上人口（女）","A141902","75歳以上人口（女）","F"
"population","A","人口","人口・割合・密度","85歳以上人口","A1420","85歳以上人口","F"
"population","A","人口","人口・割合・密度","85歳以上人口（男）","A142001","85歳以上人口（男）","F"
"population","A","人口","人口・割合・密度","85歳以上人口（女）","A142002","85歳以上人口（女）","F"
"population","A","人口","人口・割合・密度","－1歳人口","A1501","－1歳人口","F"
"population","A","人口","人口・割合・密度","0歳人口","A1502","0歳人口","F"
"population","A","人口","人口・割合・密度","0歳人口（男）","A150201","0歳人口（男）","F"
"population","A","人口","人口・割合・密度","0歳人口（女）","A150202","0歳人口（女）","F"
"population","A","人口","人口・割合・密度","1歳人口","A1503","1歳人口","F"
"population","A","人口","人口・割合・密度","1歳人口（男）","A150301","1歳人口（男）","F"
"population","A","人口","人口・割合・密度","1歳人口（女）","A150302","1歳人口（女）","F"
"population","A","人口","人口・割合・密度","2歳人口","A1504","2歳人口","F"
"population","A","人口","人口・割合・密度","2歳人口（男）","A150401","2歳人口（男）","F"
"population","A","人口","人口・割合・密度","2歳人口（女）","A150402","2歳人口（女）","F"
"population","A","人口","人口・割合・密度","6歳人口","A1505","6歳人口","F"
"population","A","人口","人口・割合・密度","6歳人口（男）","A150501","6歳人口（男）","F"
"population","A","人口","人口・割合・密度","6歳人口（女）","A150502","6歳人口（女）","F"
"population","A","人口","人口・割合・密度","7歳人口","A1506","7歳人口","F"
"population","A","人口","人口・割合・密度","7歳人口（男）","A150601","7歳人口（男）","F"
"population","A","人口","人口・割合・密度","7歳人口（女）","A150602","7歳人口（女）","F"
"population","A","人口","人口・割合・密度","8歳人口","A1507","8歳人口","F"
"population","A","人口","人口・割合・密度","8歳人口（男）","A150701","8歳人口（男）","F"
"population","A","人口","人口・割合・密度","8歳人口（女）","A150702","8歳人口（女）","F"
"population","A","人口","人口・割合・密度","9歳人口","A1508","9歳人口","F"
"population","A","人口","人口・割合・密度","9歳人口（男）","A150801","9歳人口（男）","F"
"population","A","人口","人口・割合・密度","9歳人口（女）","A150802","9歳人口（女）","F"
"population","A","人口","人口・割合・密度","10歳人口","A1509","10歳人口","F"
"population","A","人口","人口・割合・密度","10歳人口（男）","A150901","10歳人口（男）","F"
"population","A","人口","人口・割合・密度","10歳人口（女）","A150902","10歳人口（女）","F"
"population","A","人口","人口・割合・密度","11歳人口","A1510","11歳人口","F"
"population","A","人口","人口・割合・密度","11歳人口（男）","A151001","11歳人口（男）","F"
"population","A","人口","人口・割合・密度","11歳人口（女）","A151002","11歳人口（女）","F"
"population","A","人口","人口・割合・密度","12歳人口","A1511","12歳人口","F"
"population","A","人口","人口・割合・密度","12歳人口（男）","A151101","12歳人口（男）","F"
"population","A","人口","人口・割合・密度","12歳人口（女）","A151102","12歳人口（女）","F"
"population","A","人口","人口・割合・密度","13歳人口","A1512","13歳人口","F"
"population","A","人口","人口・割合・密度","13歳人口（男）","A151201","13歳人口（男）","F"
"population","A","人口","人口・割合・密度","13歳人口（女）","A151202","13歳人口（女）","F"
"population","A","人口","人口・割合・密度","14歳人口","A1513","14歳人口","F"
"population","A","人口","人口・割合・密度","14歳人口（男）","A151301","14歳人口（男）","F"
"population","A","人口","人口・割合・密度","14歳人口（女）","A151302","14歳人口（女）","F"
"population","A","人口","人口・割合・密度","15歳人口","A1514","15歳人口","F"
"population","A","人口","人口・割合・密度","15歳人口（男）","A151401","15歳人口（男）","F"
"population","A","人口","人口・割合・密度","15歳人口（女）","A151402","15歳人口（女）","F"
"population","A","人口","人口・割合・密度","16歳人口","A1515","16歳人口","F"
"population","A","人口","人口・割合・密度","16歳人口（男）","A151501","16歳人口（男）","F"
"population","A","人口","人口・割合・密度","16歳人口（女）","A151502","16歳人口（女）","F"
"population","A","人口","人口・割合・密度","17歳人口","A1516","17歳人口","F"
"population","A","人口","人口・割合・密度","17歳人口（男）","A151601","17歳人口（男）","F"
"population","A","人口","人口・割合・密度","17歳人口（女）","A151602","17歳人口（女）","F"
"population","A","人口","人口・割合・密度","18歳人口","A1517","18歳人口","F"
"population","A","人口","人口・割合・密度","18歳人口（男）","A151701","18歳人口（男）","F"
"population","A","人口","人口・割合・密度","18歳人口（女）","A151702","18歳人口（女）","F"
"population","A","人口","結婚・離婚","婚姻率（人口千人当たり）","A06601","婚姻率（人口千人当たり）","T"
"population","A","人口","結婚・離婚","離婚率（人口千人当たり）","A06602","離婚率（人口千人当たり）","T"
"population","A","人口","結婚・離婚","婚姻件数","A9101","婚姻件数","T"
"population","A","人口","結婚・離婚","平均婚姻年齢（初婚の夫）","A9111","平均婚姻年齢（初婚の夫）","T"
"population","A","人口","結婚・離婚","平均婚姻年齢（初婚の妻）","A9112","平均婚姻年齢（初婚の妻）","T"
"population","A","人口","結婚・離婚","離婚件数","A9201","離婚件数","T"
"population","A","人口","結婚・離婚","未婚人口（15歳以上）（男）","A1601001","未婚人口（15歳以上）（男）","T"
"population","A","人口","結婚・離婚","未婚人口（15歳以上）（女）","A1601002","未婚人口（15歳以上）（女）","T"
"population","A","人口","結婚・離婚","未婚人口（15～19歳）（男）","A1601011","未婚人口（15～19歳）（男）","F"
"population","A","人口","結婚・離婚","未婚人口（15～19歳）（女）","A1601012","未婚人口（15～19歳）（女）","F"
"population","A","人口","結婚・離婚","未婚人口（20～24歳）（男）","A1601021","未婚人口（20～24歳）（男）","F"
"population","A","人口","結婚・離婚","未婚人口（20～24歳）（女）","A1601022","未婚人口（20～24歳）（女）","F"
"population","A","人口","結婚・離婚","未婚人口（25～29歳）（男）","A1601031","未婚人口（25～29歳）（男）","F"
"population","A","人口","結婚・離婚","未婚人口（25～29歳）（女）","A1601032","未婚人口（25～29歳）（女）","F"
"population","A","人口","結婚・離婚","未婚人口（30～34歳）（男）","A1601041","未婚人口（30～34歳）（男）","F"
"population","A","人口","結婚・離婚","未婚人口（30～34歳）（女）","A1601042","未婚人口（30～34歳）（女）","F"
"population","A","人口","結婚・離婚","未婚人口（35～39歳）（男）","A1601051","未婚人口（35～39歳）（男）","F"
"population","A","人口","結婚・離婚","未婚人口（35～39歳）（女）","A1601052","未婚人口（35～39歳）（女）","F"
"population","A","人口","結婚・離婚","未婚人口（40～44歳）（男）","A1601061","未婚人口（40～44歳）（男）","F"
"population","A","人口","結婚・離婚","未婚人口（40～44歳）（女）","A1601062","未婚人口（40～44歳）（女）","F"
"population","A","人口","結婚・離婚","未婚人口（45～49歳）（男）","A1601071","未婚人口（45～49歳）（男）","F"
"population","A","人口","結婚・離婚","未婚人口（45～49歳）（女）","A1601072","未婚人口（45～49歳）（女）","F"
"population","A","人口","結婚・離婚","未婚人口（50～54歳）（男）","A1601081","未婚人口（50～54歳）（男）","F"
"population","A","人口","結婚・離婚","未婚人口（50～54歳）（女）","A1601082","未婚人口（50～54歳）（女）","F"
"population","A","人口","結婚・離婚","未婚人口（55～59歳）（男）","A1601091","未婚人口（55～59歳）（男）","F"
"population","A","人口","結婚・離婚","未婚人口（55～59歳）（女）","A1601092","未婚人口（55～59歳）（女）","F"
"population","A","人口","結婚・離婚","未婚人口（60～64歳）（男）","A1601101","未婚人口（60～64歳）（男）","F"
"population","A","人口","結婚・離婚","未婚人口（60～64歳）（女）","A1601102","未婚人口（60～64歳）（女）","F"
"population","A","人口","結婚・離婚","未婚人口（65～69歳）（男）","A1601111","未婚人口（65～69歳）（男）","F"
"population","A","人口","結婚・離婚","未婚人口（65～69歳）（女）","A1601112","未婚人口（65～69歳）（女）","F"
"population","A","人口","結婚・離婚","未婚人口（70～74歳）（男）","A1601121","未婚人口（70～74歳）（男）","F"
"population","A","人口","結婚・離婚","未婚人口（70～74歳）（女）","A1601122","未婚人口（70～74歳）（女）","F"
"population","A","人口","結婚・離婚","未婚人口（75～79歳）（男）","A1601131","未婚人口（75～79歳）（男）","F"
"population","A","人口","結婚・離婚","未婚人口（75～79歳）（女）","A1601132","未婚人口（75～79歳）（女）","F"
"population","A","人口","結婚・離婚","未婚人口（80～84歳）（男）","A1601141","未婚人口（80～84歳）（男）","F"
"population","A","人口","結婚・離婚","未婚人口（80～84歳）（女）","A1601142","未婚人口（80～84歳）（女）","F"
"population","A","人口","結婚・離婚","未婚人口（85歳以上）（男）","A1601151","未婚人口（85歳以上）（男）","F"
"population","A","人口","結婚・離婚","未婚人口（85歳以上）（女）","A1601152","未婚人口（85歳以上）（女）","F"
"population","A","人口","結婚・離婚","有配偶人口（15歳以上）（男）","A1602001","有配偶人口（15歳以上）（男）","T"
"population","A","人口","結婚・離婚","有配偶人口（15歳以上）（女）","A1602002","有配偶人口（15歳以上）（女）","T"
